web-scraper-order,web-scraper-start-url,page-link,page-link-href,Nombre_pieces,Nombre_salle,Supeficie,Adresse
"1716417319-1","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-almadies-4497844","Superficie305","","","Almadies, Dakar, Sénégal"
"1716417322-2","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-almadies-4494565","Nbre de pièces5","Nbre de salles de bain3","","Almadies, Dakar, Sénégal"
"1716417325-3","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-dakar-4536155","Nbre de pièces3","Nbre de salles de bain2","Superficie150","Dakar, Sénégal"
"1716417327-4","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Cité Daoune","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-daoune-4536480","Nbre de pièces4","Nbre de salles de bain4","Superficie150 m2","Guediawaye, Dakar, Sénégal"
"1716417330-5","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Sacré-Cœur","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sacre-cur-4495180","Nbre de pièces5","Nbre de salles de bain6","Superficie206 m2","Ouest Foire, Dakar, Sénégal"
"1716417333-6","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4494868","Nbre de pièces4","Nbre de salles de bain1","","Rufisque, Sénégal"
"1716417336-7","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies 2","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-2-4494877","Nbre de pièces5","Nbre de salles de bain2","Superficie160","Almadies 2, Dakar, Sénégal"
"1716417338-8","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 12 pièces - Thies","https://sn.coinafrique.com/annonce/villas/location-villa-12-pieces-thies-4536736","","","","Thies, Sénégal"
"1716417341-9","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Ngor Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-ngor-almadies-4537498","Nbre de pièces7","Nbre de salles de bain5","Superficie500 m2","Dakar, Sénégal"
"1716417344-10","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Ndangane","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-ndangane-4537648","Nbre de pièces5","Nbre de salles de bain1","Superficie80","Fatick, Sénégal"
"1716417347-11","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 8 pièces - cité Mourtada VDN","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-cite-mourtada-vdn-4496376","Nbre de pièces8","Nbre de salles de bain4","Superficie160","Sipres, Dakar, Sénégal"
"1716417350-12","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 7 pièces - Sipres","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-sipres-4496103","Nbre de pièces7","Nbre de salles de bain2","Superficie168","Sipres, Dakar, Sénégal"
"1716417353-13","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4496218","Nbre de pièces5","Nbre de salles de bain4","Superficie300","Almadies, Dakar, Sénégal"
"1716417357-14","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Fann","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-fann-4496239","Nbre de pièces6","Nbre de salles de bain4","Superficie400","Fann, Dakar, Sénégal"
"1716417360-15","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-ngaparou-4496255","Nbre de pièces6","Nbre de salles de bain4","Superficie600","Ngaparou, Sénégal"
"1716417363-16","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-ngaparou-4496296","Nbre de pièces5","Nbre de salles de bain4","Superficie2000","Ngaparou, Sénégal"
"1716417367-17","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Somone","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-somone-4496317","","","","Ngaparou, Sénégal"
"1716417370-18","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Saly","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-saly-4538114","Nbre de pièces5","Nbre de salles de bain3","Superficie500","Saly, Sénégal"
"1716417372-19","https://sn.coinafrique.com/categorie/villas?page=10","Location  villa - Sicap","https://sn.coinafrique.com/annonce/villas/location-villa-sicap-4538356","Nbre de pièces6","Nbre de salles de bain5","Superficie180 m2","Sacré-Coeur, Dakar, Sénégal"
"1716417376-20","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mamelles-4496505","Nbre de pièces6","Nbre de salles de bain5","Superficie300","Mamelles, Dakar, Sénégal"
"1716417379-21","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 6 pièces - Ngor Virage","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-ngor-virage-4495656","Nbre de pièces6","Nbre de salles de bain5","Superficie300","Ngor, Dakar, Sénégal"
"1716417382-22","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 05 pièces - Sacré Coeur","https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-sacre-coeur-4495625","Nbre de pièces5","Nbre de salles de bain5","Superficie250","Sacré-Coeur, Dakar, Sénégal"
"1716417385-23","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Nianing","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-nianing-4539365","Nbre de pièces3","Nbre de salles de bain3","Superficie350 m2","Mbour, Sénégal"
"1716417388-24","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - niaga","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-niaga-4500870","","","","Niaga, Sénégal"
"1716417392-25","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 07 pièces - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-saly-4540063","Nbre de salles de bain5","Superficie1400","","Saly, Sénégal"
"1716417395-26","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 7 pièces - Yoff virage","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-yoff-virage-4498040","Nbre de pièces7","Nbre de salles de bain6","","Yoff, Dakar, Sénégal"
"1716417398-27","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Sacré-Cœur","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-sacre-cur-4540364","Nbre de pièces6","Superficie169","","Sacré-Coeur, Dakar, Sénégal"
"1716417401-28","https://sn.coinafrique.com/categorie/villas?page=10","Location villa meublé 4 pièces - Mermoz","https://sn.coinafrique.com/annonce/villas/location-villa-meuble-4-pieces-mermoz-4498358","Nbre de pièces4","Nbre de salles de bain3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1716417405-29","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 6 pièces -Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-almadies-4497199","Nbre de pièces6","Nbre de salles de bain8","Superficie600 m2","Almadies, Dakar, Sénégal"
"1716417407-30","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Fass Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-fass-mbao-4540712","Nbre de pièces4","Nbre de salles de bain3","Superficie170","Pikine, Sénégal"
"1716417410-31","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 07 pièces - Hann bel-air","https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-hann-bel-air-4541683","Nbre de pièces7","Nbre de salles de bain7","Superficie211","Hann Bel-Air, Dakar, Sénégal"
"1716417412-32","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-saly-4505337","Nbre de pièces2","Nbre de salles de bain2","Superficie320 m2","Saly, Sénégal"
"1716417416-33","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Keur Mbaye Fall","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-keur-mbaye-fall-4543900","Superficie150 m2","","","Dakar, Sénégal"
"1716417419-34","https://sn.coinafrique.com/categorie/villas?page=10","Vente maison - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-maison-keur-massar-4543981","Nbre de pièces9","Nbre de salles de bain3","Superficie150 m2","Keur Massar, Sénégal"
"1716417421-35","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa meulé 5 pièces - Thies","https://sn.coinafrique.com/annonce/villas/vente-villa-meule-5-pieces-thies-4544056","","","","Thies, Sénégal"
"1716417424-36","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa150 m² - Ouest foire","https://sn.coinafrique.com/annonce/villas/vente-villa150-m-ouest-foire-4516277","Superficie150 m2","","","Damel, Dakar, Sénégal"
"1716417427-37","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Grand Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-grand-mbao-4502530","Nbre de pièces5","Nbre de salles de bain2","Superficie160","Mbao, Dakar, Sénégal"
"1716417429-38","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 7 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadies-4545631","Nbre de pièces6","Nbre de salles de bain6","Superficie450","Almadies, Dakar, Sénégal"
"1716417432-39","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 150m²- Mbayakh","https://sn.coinafrique.com/annonce/villas/vente-villa-150m-mbayakh-4546202","Nbre de pièces4","Nbre de salles de bain4","Superficie150 m2","Guediawaye, Dakar, Sénégal"
"1716417435-40","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces  - Nguérigne","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-nguerigne-4546952","Nbre de pièces5","Nbre de salles de bain5","Superficie1710 m2","Ngaparou, Sénégal"
"1716417438-41","https://sn.coinafrique.com/categorie/villas?page=10","Vente villas 9 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villas-9-pieces-rufisque-4547380","Nbre de pièces9","Nbre de salles de bain6","Superficie900","Rufisque, Sénégal"
"1716417441-42","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4510338","","","","Keur Massar, Sénégal"
"1716417443-43","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Mboro","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mboro-4548032","Nbre de pièces4","Nbre de salles de bain3","Superficie800","Mboro, Sénégal"
"1716417447-44","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 05 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-mamelles-4510363","","","","Dakar, Sénégal"
"1716417449-45","https://sn.coinafrique.com/categorie/villas?page=10","Location villas 3 pièces - Sacré-coeur","https://sn.coinafrique.com/annonce/villas/location-villas-3-pieces-sacre-coeur-4548200","Nbre de pièces6","Nbre de salles de bain2","Superficie179","Sacré-Coeur, Dakar, Sénégal"
"1716417452-46","https://sn.coinafrique.com/categorie/villas?page=10","Vente villas 7 pièces - Saly","https://sn.coinafrique.com/annonce/villas/vente-villas-7-pieces-saly-4548208","Nbre de pièces7","Nbre de salles de bain4","Superficie290","Saly, Sénégal"
"1716417455-47","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 2 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-keur-massar-4548382","Nbre de pièces2","Nbre de salles de bain1","Superficie193","Keur Massar, Sénégal"
"1716417458-48","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4548608","Nbre de pièces5","Nbre de salles de bain2","Superficie170 m2","Keur Massar, Sénégal"
"1716417461-49","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Mermoz-sacré coeur","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mermoz-sacre-coeur-4548853","Nbre de pièces5","Nbre de salles de bain3","Superficie150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1716417463-50","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 8 pièces - Touba","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-touba-4513131","Nbre de pièces4","Nbre de salles de bain2","Superficie400","Touba, Sénégal"
"1716417467-51","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Mbour","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mbour-4513130","Nbre de pièces5","Nbre de salles de bain5","Superficie700","Mbour, Sénégal"
"1716417470-52","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Diamniadio","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-diamniadio-4549247","Nbre de pièces2","Nbre de salles de bain1","Superficie150","Diamniadio, Sénégal"
"1716417473-53","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 10 pièces - Ngor-plages","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-ngor-plages-4504935","Nbre de pièces10","Nbre de salles de bain12","Superficie3500","Ngor, Dakar, Sénégal"
"1716417477-54","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 6 pièces - Sacre Coeur","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-sacre-coeur-4508178","Nbre de pièces6","Nbre de salles de bain5","","Sacré-Coeur, Dakar, Sénégal"
"1716417480-55","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4512001","Nbre de pièces8","Nbre de salles de bain8","Superficie260 m2","Ngor, Dakar, Sénégal"
"1716417483-56","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4506484","Nbre de pièces4","Nbre de salles de bain1","Superficie150","Rufisque, Sénégal"
"1716417488-57","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Fann Mermoz","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-fann-mermoz-4506490","Nbre de pièces6","Nbre de salles de bain4","Superficie400","Fann, Dakar, Sénégal"
"1716417490-58","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Point E","https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4506496","","","","Point E, Dakar, Sénégal"
"1716417493-59","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4506507","Nbre de pièces5","Nbre de salles de bain4","Superficie300","Almadies, Dakar, Sénégal"
"1716417496-60","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mamelles-4507112","Nbre de pièces6","Nbre de salles de bain5","Superficie300","Mamelles, Dakar, Sénégal"
"1716417499-61","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-almadies-4552192","Nbre de pièces3","Superficie500","","Almadies, Dakar, Sénégal"
"1716417502-62","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Point E","https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4507676","","","","Point E, Dakar, Sénégal"
"1716417505-63","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Point E","https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4507668","Superficie300","","","Point E, Dakar, Sénégal"
"1716417508-64","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mamelles-4507261","","","","Mamelles, Dakar, Sénégal"
"1716417511-65","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 4 pièces + magasin  - Virage","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-magasin-virage-4511094","Nbre de pièces4","Nbre de salles de bain3","","Ngor, Dakar, Sénégal"
"1716417513-66","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 5 pièces - Sicap Darabis","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-sicap-darabis-4511840","Nbre de pièces5","Nbre de salles de bain4","Superficie180","Sicap Liberté, Dakar, Sénégal"
"1716417516-67","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 5 pièces - Cité Djamila Almadies 2","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-cite-djamila-almadies-2-4512870","Nbre de pièces5","Nbre de salles de bain3","Superficie150 m2","Almadies 2, Dakar, Sénégal"
"1716417519-68","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 6 pièces - Dieuppeul Derklé","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dieuppeul-derkle-4512345","Nbre de pièces6","Nbre de salles de bain5","Superficie200","Dieuppeul-Derklé, Dakar, Sénégal"
"1716417522-69","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-rufisque-4555769","Nbre de pièces4","Nbre de salles de bain2","Superficie336 m2","Dakar, Sénégal"
"1716417527-70","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 05 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-keur-massar-4555924","Nbre de pièces5","Nbre de salles de bain3","","Keur Massar, Sénégal"
"1716417530-71","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 3 pièces - Campement Ndangane","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-campement-ndangane-4556543","Superficie1000","","","Fatick, Sénégal"
"1716417533-72","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa7 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa7-pieces-rufisque-4556653","Nbre de pièces7","Nbre de salles de bain5","Superficie150","Rufisque, Sénégal"
"1716417536-73","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4558476","","","","Keur Massar, Sénégal"
"1716417539-74","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa - Cambérène","https://sn.coinafrique.com/annonce/villas/vente-villa-camberene-4558478","Superficie160","","","Cambérène, Dakar, Sénégal"
"1716417542-75","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngaparou-4558704","Nbre de pièces3","Nbre de salles de bain3","Superficie600 m2","Sacré-Coeur, Dakar, Sénégal"
"1716417544-76","https://sn.coinafrique.com/categorie/villas?page=10","Location villa 6 pièces - Résidence Horizon vdn","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-residence-horizon-vdn-4558837","Nbre de pièces6","Nbre de salles de bain4","","Ouest Foire, Dakar, Sénégal"
"1716417547-77","https://sn.coinafrique.com/categorie/villas?page=10","Location villa  8 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-almadies-4515520","Nbre de pièces8","Nbre de salles de bain5","Superficie500","Almadies, Dakar, Sénégal"
"1716417549-78","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa duplex 5 piéces - Ouest foire","https://sn.coinafrique.com/annonce/villas/vente-villa-duplex-5-pieces-ouest-foire-4516590","Nbre de pièces7","Nbre de salles de bain3","Superficie150 m2","Keur Massar, Sénégal"
"1716417552-79","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 7 piéces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-keur-massar-4516600","Nbre de pièces8","Nbre de salles de bain6","Superficie150 m2","Keur Massar, Sénégal"
"1716417554-80","https://sn.coinafrique.com/categorie/villas?page=10","Location villa11 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa11-pieces-almadies-4560521","Nbre de pièces11","Nbre de salles de bain7","Superficie200","Almadies, Dakar, Sénégal"
"1716417557-81","https://sn.coinafrique.com/categorie/villas?page=10","Location villa - Sacré coeur 3 VDN","https://sn.coinafrique.com/annonce/villas/location-villa-sacre-coeur-3-vdn-4560531","","","","Sacré-Coeur, Dakar, Sénégal"
"1716417559-82","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa R+2 - Rond Point Goygui unité 4","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-rond-point-goygui-unite-4-4560815","","","","Dakar, Sénégal"
"1716417562-83","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 05 pièces - Pikine","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-pikine-4561388","Nbre de pièces5","Nbre de salles de bain2","Superficie150","Pikine, Sénégal"
"1716417564-84","https://sn.coinafrique.com/categorie/villas?page=10","Vente villa 4 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4561743","Nbre de pièces4","Nbre de salles de bain1","Superficie150","Keur Massar, Sénégal"
"1716417570-85","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 8 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-keur-massar-4562455","Superficie150 m2","","","Dakar, Sénégal"
"1716417573-86","https://sn.coinafrique.com/categorie/villas?page=9","Location villa 11 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-11-pieces-almadies-4514963","Nbre de pièces11","Nbre de salles de bain8","Superficie1000","Almadies, Dakar, Sénégal"
"1716417575-87","https://sn.coinafrique.com/categorie/villas?page=9","Location villa 4 pièces - Mbour","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbour-4562881","Nbre de pièces4","Nbre de salles de bain3","","Mbour, Sénégal"
"1716417578-88","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 05 pièces - Ouest Foire","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-ouest-foire-4563128","Nbre de pièces5","Nbre de salles de bain3","Superficie150","Ouest Foire, Dakar, Sénégal"
"1716417580-89","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 4 pièces - Keur massar","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4564121","Nbre de pièces5","Nbre de salles de bain3","Superficie150","Keur Massar, Sénégal"
"1716417584-90","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa - Nguékhokh","https://sn.coinafrique.com/annonce/villas/vente-villa-nguekhokh-4564654","Nbre de pièces10","Nbre de salles de bain4","Superficie300 m2","Dakar, Sénégal"
"1716417587-91","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa R+2 - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-keur-massar-4565217","Nbre de pièces5","Nbre de salles de bain5","Superficie150 m2","Almadies 2, Dakar, Sénégal"
"1716417590-92","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 4 pices -  Balacoss Saint-Louis","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pices-balacoss-saint-louis-4565521","Nbre de pièces8","Nbre de salles de bain4","Superficie240 m2","Saint Louis, Sénégal"
"1716417593-93","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 3 pièces - Sacré-coeur","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-sacre-coeur-4520686","Nbre de pièces3","Nbre de salles de bain3","Superficie178","Sacré-Coeur, Dakar, Sénégal"
"1716417596-94","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 30 pièces - Toubab Dialao","https://sn.coinafrique.com/annonce/villas/vente-villa-30-pieces-toubab-dialao-4523792","Nbre de pièces30","Nbre de salles de bain12","Superficie800","Toubab Dialao, Sénégal"
"1716417599-95","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 8 pièces - Mermoz sacré coeur","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-mermoz-sacre-coeur-4565820","Superficie150","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1716417603-96","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 05 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-keur-massar-4565941","Nbre de pièces5","Nbre de salles de bain2","Superficie150 m2","Keur Massar, Sénégal"
"1716417607-97","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 05 pièces - Kounoune","https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-kounoune-4566165","Nbre de pièces8","Nbre de salles de bain2","Superficie150 m2","Dakar, Sénégal"
"1716417610-98","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 08 pièces - Ouest Foire","https://sn.coinafrique.com/annonce/villas/vente-villa-08-pieces-ouest-foire-4566322","Nbre de pièces17","Nbre de salles de bain10","Superficie163 m2","Dakar, Sénégal"
"1716417613-99","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 5 pièces - Yoff","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-yoff-4521466","Nbre de pièces5","Nbre de salles de bain4","Superficie275000000","Yoff, Dakar, Sénégal"
"1716417617-100","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 7 pièces - Yoff","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-yoff-4520785","Nbre de pièces7","Nbre de salles de bain4","Superficie465","Yoff, Dakar, Sénégal"
"1716417619-101","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 5 piéces - Cité Apix VDN 3","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-cite-apix-vdn-3-4520791","Nbre de pièces5","Nbre de salles de bain2","Superficie150","Cambérène, Dakar, Sénégal"
"1716417623-102","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 4 piéces - Sicap Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-keur-massar-4521126","Nbre de pièces5","Nbre de salles de bain1","Superficie160","Keur Massar, Sénégal"
"1716417625-103","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa - Point E","https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4523444","Nbre de pièces5","Nbre de salles de bain3","Superficie1569","Point E, Dakar, Sénégal"
"1716417628-104","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 6 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mamelles-4523752","","","","Mamelles, Dakar, Sénégal"
"1716417630-105","https://sn.coinafrique.com/categorie/villas?page=9","Vente maison R+1 - Kounoune","https://sn.coinafrique.com/annonce/villas/vente-maison-r1-kounoune-4568552","Nbre de pièces4","Nbre de salles de bain2","Superficie150 m2","Sacré-Coeur, Dakar, Sénégal"
"1716417633-106","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 11 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-11-pieces-rufisque-4528275","","","","Rufisque, Sénégal"
"1716417637-107","https://sn.coinafrique.com/categorie/villas?page=9","Vente villa 5 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4522044","Nbre de pièces5","Nbre de salles de bain4","Superficie200","Almadies, Dakar, Sénégal"
