web-scraper-order,web-scraper-start-url,pages-link,pages-link-href,superficie,prix,adresse,Image_lien-src
"1716428335-506","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 180m²  - Thies","https://sn.coinafrique.com/annonce/terrains/terrain-180m-thies-4698533","Superficie180","4 500 000 CFA","Thies, Sénégal",""
"1716428335-1714","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150 m² - Keur Massar cité Darou Salam","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-keur-massar-cite-darou-salam-4624168","Superficie150 m2","16 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4624168_uploaded_image1_1709545379.2.jpeg"
"1716428336-439","https://sn.coinafrique.com/categorie/terrains?page=5","Terrain 150m²  - Ouest Foire","https://sn.coinafrique.com/annonce/terrains/terrain-150m-ouest-foire-4682980","Superficie150 m2","75 000 000 CFA","Ouest Foire, Dakar, Sénégal",""
"1716428337-380","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 702m² - Hangar Pélerin Bazarder","https://sn.coinafrique.com/annonce/terrains/terrain-702m-hangar-pelerin-bazarder-4664974","Superficie702 m2","500 000 000 CFA","Dakar, Sénégal",""
"1716428339-1101","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain - Touba Darou Rahmane","https://sn.coinafrique.com/annonce/terrains/terrain-touba-darou-rahmane-4699247","Superficie1000 m2","2 000 000 CFA","Touba, Sénégal",""
"1716428341-2679","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4670327_uploaded_image1_1712007337.jpg"
"1716428341-2680","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4665016_uploaded_image1_1711670449.jpg"
"1716428341-2681","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4626877_uploaded_image1_1709648558.jpg"
"1716428341-2682","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4611331_uploaded_image1_1708884568.jpg"
"1716428341-2683","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4593588_uploaded_image1_1707919138.jpg"
"1716428341-2684","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4538035_uploaded_image1_1704892754.jpg"
"1716428341-2685","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4520200_uploaded_image1_1703934801.jpg"
"1716428341-2686","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4497590_uploaded_image2_1702459628.jpeg"
"1716428341-2687","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4492149_uploaded_image1_1702115202.jpg"
"1716428341-2688","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4478530_uploaded_image2_1701340947.jpeg"
"1716428341-2689","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4453491_uploaded_image1_1699704166.jpg"
"1716428341-2690","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 300m² - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4670327","Superficie300 m2","2 800 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4381128_uploaded_image2_1695036410.jpeg"
"1716428343-507","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 150m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-4650262","Superficie150","40 000 000 CFA","Rufisque, Sénégal",""
"1716428343-1715","https://sn.coinafrique.com/categorie/terrains?page=7","Vente terrains 263 m2 - Mbao","https://sn.coinafrique.com/annonce/terrains/vente-terrains-263-m2-mbao-4590169","Superficie263","55 000 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4590169_uploaded_image1_1707747130.jpg"
"1716428344-440","https://sn.coinafrique.com/categorie/terrains?page=5","Terrain 150m² - Lac rose","https://sn.coinafrique.com/annonce/terrains/terrain-150m-lac-rose-4683252","","Prix sur demande","Dakar, Sénégal",""
"1716428346-1102","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 700ha - Thiés","https://sn.coinafrique.com/annonce/terrains/terrain-700ha-thies-4699699","","18 000 CFA","Thies, Sénégal",""
